11 50 Move(dir='c', i=1, n=1) Move(dir='c', i=2, n=1) Move(dir='r', i=2, n=1) Move(dir='c', i=1, n=3) Move(dir='r', i=3, n=2) Move(dir='c', i=2, n=2) Move(dir='c', i=3, n=1) Move(dir='c', i=1, n=2) Move(dir='r', i=3, n=1) Move(dir='c', i=0, n=2) Move(dir='r', i=3, n=3) Move(dir='c', i=2, n=3) Move(dir='r', i=1, n=1) Move(dir='r', i=0, n=1) Move(dir='c', i=0, n=3) Move(dir='r', i=0, n=1) Move(dir='r', i=0, n=1) Move(dir='r', i=1, n=2) Move(dir='c', i=2, n=1) Move(dir='c', i=0, n=3) 
12 49 Move(dir='r', i=0, n=1) Move(dir='c', i=1, n=2) Move(dir='r', i=2, n=2) Move(dir='c', i=3, n=3) Move(dir='r', i=0, n=1) Move(dir='r', i=3, n=2) Move(dir='r', i=0, n=2) Move(dir='r', i=3, n=3) Move(dir='c', i=2, n=3) Move(dir='r', i=2, n=2) Move(dir='c', i=1, n=1) Move(dir='r', i=0, n=1) Move(dir='r', i=2, n=2) Move(dir='r', i=1, n=3) Move(dir='r', i=0, n=2) Move(dir='c', i=2, n=3) Move(dir='c', i=0, n=2) Move(dir='c', i=1, n=1) Move(dir='c', i=2, n=2) Move(dir='r', i=0, n=1) 
13 48 Move(dir='r', i=2, n=3) Move(dir='c', i=0, n=1) Move(dir='r', i=0, n=2) Move(dir='r', i=0, n=1) Move(dir='c', i=3, n=2) Move(dir='c', i=0, n=1) Move(dir='c', i=1, n=1) Move(dir='c', i=3, n=1) Move(dir='r', i=2, n=1) Move(dir='c', i=3, n=1) Move(dir='r', i=3, n=2) Move(dir='r', i=1, n=2) Move(dir='c', i=1, n=2) Move(dir='r', i=3, n=2) Move(dir='c', i=2, n=2) Move(dir='r', i=0, n=1) Move(dir='c', i=1, n=2) Move(dir='r', i=1, n=1) Move(dir='r', i=3, n=2) Move(dir='c', i=3, n=3) 
14 48 Move(dir='c', i=0, n=2) Move(dir='c', i=2, n=3) Move(dir='r', i=3, n=1) Move(dir='r', i=3, n=1) Move(dir='c', i=1, n=3) Move(dir='r', i=3, n=1) Move(dir='c', i=1, n=3) Move(dir='r', i=3, n=3) Move(dir='c', i=3, n=1) Move(dir='c', i=1, n=2) Move(dir='c', i=0, n=3) Move(dir='c', i=3, n=1) Move(dir='r', i=0, n=3) Move(dir='c', i=2, n=2) Move(dir='c', i=0, n=1) Move(dir='c', i=2, n=3) Move(dir='c', i=1, n=3) Move(dir='r', i=0, n=1) Move(dir='c', i=3, n=3) Move(dir='r', i=3, n=2) 
15 46 Move(dir='r', i=2, n=3) Move(dir='c', i=2, n=3) Move(dir='r', i=0, n=3) Move(dir='r', i=0, n=3) Move(dir='r', i=2, n=1) Move(dir='c', i=1, n=1) Move(dir='c', i=3, n=2) Move(dir='r', i=2, n=2) Move(dir='c', i=1, n=3) Move(dir='r', i=2, n=1) Move(dir='r', i=3, n=2) Move(dir='c', i=2, n=2) Move(dir='r', i=3, n=3) Move(dir='r', i=0, n=2) Move(dir='r', i=3, n=3) Move(dir='r', i=2, n=1) Move(dir='c', i=3, n=3) Move(dir='r', i=2, n=2) Move(dir='r', i=1, n=3) Move(dir='r', i=3, n=2) 
16 49 Move(dir='r', i=2, n=1) Move(dir='r', i=3, n=3) Move(dir='c', i=2, n=3) Move(dir='r', i=3, n=1) Move(dir='r', i=0, n=3) Move(dir='r', i=0, n=2) Move(dir='c', i=3, n=1) Move(dir='r', i=1, n=1) Move(dir='c', i=2, n=2) Move(dir='r', i=1, n=2) Move(dir='c', i=0, n=1) Move(dir='c', i=3, n=1) Move(dir='c', i=3, n=2) Move(dir='c', i=2, n=2) Move(dir='c', i=0, n=1) Move(dir='r', i=1, n=2) Move(dir='c', i=1, n=2) Move(dir='c', i=0, n=3) Move(dir='c', i=2, n=1) Move(dir='c', i=3, n=1) 
17 60 Move(dir='r', i=3, n=1) Move(dir='r', i=1, n=1) Move(dir='c', i=3, n=3) Move(dir='r', i=3, n=3) Move(dir='c', i=3, n=1) Move(dir='c', i=1, n=2) Move(dir='r', i=1, n=2) Move(dir='c', i=0, n=2) Move(dir='r', i=1, n=3) Move(dir='c', i=0, n=1) Move(dir='c', i=1, n=3) Move(dir='r', i=2, n=1) Move(dir='c', i=0, n=3) Move(dir='c', i=3, n=1) Move(dir='r', i=3, n=2) Move(dir='r', i=2, n=3) Move(dir='c', i=3, n=1) Move(dir='c', i=0, n=2) Move(dir='r', i=3, n=1) Move(dir='c', i=2, n=1) 
18 50 Move(dir='r', i=2, n=1) Move(dir='c', i=0, n=2) Move(dir='r', i=0, n=2) Move(dir='c', i=1, n=3) Move(dir='r', i=1, n=1) Move(dir='r', i=2, n=2) Move(dir='c', i=3, n=3) Move(dir='r', i=3, n=2) Move(dir='r', i=1, n=2) Move(dir='r', i=0, n=3) Move(dir='c', i=1, n=2) Move(dir='c', i=0, n=2) Move(dir='c', i=0, n=1) Move(dir='c', i=1, n=3) Move(dir='r', i=3, n=3) Move(dir='c', i=2, n=3) Move(dir='r', i=0, n=1) Move(dir='c', i=3, n=2) Move(dir='c', i=0, n=3) Move(dir='c', i=2, n=1) 
19 50 Move(dir='c', i=2, n=2) Move(dir='r', i=1, n=1) Move(dir='r', i=0, n=3) Move(dir='r', i=3, n=2) Move(dir='c', i=1, n=1) Move(dir='r', i=2, n=3) Move(dir='c', i=2, n=2) Move(dir='r', i=3, n=3) Move(dir='r', i=0, n=1) Move(dir='r', i=3, n=1) Move(dir='c', i=2, n=2) Move(dir='c', i=0, n=3) Move(dir='c', i=3, n=1) Move(dir='r', i=3, n=2) Move(dir='r', i=3, n=1) Move(dir='c', i=2, n=1) Move(dir='r', i=0, n=1) Move(dir='c', i=2, n=1) Move(dir='c', i=1, n=3) Move(dir='r', i=1, n=2) 
20 45 Move(dir='r', i=3, n=1) Move(dir='r', i=0, n=3) Move(dir='c', i=1, n=2) Move(dir='r', i=0, n=2) Move(dir='r', i=2, n=3) Move(dir='r', i=1, n=2) Move(dir='r', i=3, n=2) Move(dir='r', i=2, n=2) Move(dir='r', i=3, n=3) Move(dir='r', i=1, n=1) Move(dir='c', i=2, n=1) Move(dir='r', i=1, n=1) Move(dir='r', i=3, n=2) Move(dir='r', i=1, n=3) Move(dir='r', i=0, n=1) Move(dir='r', i=1, n=3) Move(dir='c', i=2, n=2) Move(dir='c', i=1, n=1) Move(dir='r', i=0, n=2) Move(dir='r', i=1, n=2) 
